100 euro                      #86C67C
20 pound                      #A46582
6 ball                        #1B6453
Coke bottle                   #79A888
LCD back                      #91B49C
LCD dark                      #507786
Nerf green                    #49E20E
alaska sky                    #1B3F8B
aliceblue (SVG)               #F0F8FF
alizarin crimson              #E32636
almond                        #C48E48
aluminum                      #A9ACB6
amethyst                      #9D6B84
anjou pear                    #BAAF07
antiquewhite (SVG)            #FAEBD7
antiquewhite1                 #FFEFDB
antiquewhite2                 #EEDFCC
antiquewhite3                 #CDC0B0
antiquewhite4                 #8B8378
apple                         #CC4E5C
apricot                       #FBA16C
aqua (Safe 16 SVG Hex3)       #00FFFF
aqua (Safe Hex3)              #66CCCC
aquaman                       #37BC61
aquamarine                    #4E78A0
aquamarine                    #70DB93
aquamarine (SVG)              #7FFFD4
aquamarine2                   #76EEC6
aquamarine4                   #458B74
aquarium                      #2FAA96
army men                      #327556
army uniform                  #353F3E
ash                           #C6C3B5
atlantic green                #2A8E82
aureolineyellow               #FFA824
avacado                       #A2C257
avocado                       #98A148
azure (SVG)                   #F0FFFF
azure2                        #E0EEEE
azure3                        #C1CDCD
azure4                        #838B8B
bacon                         #C65D57
bakerschocolate               #5C3317
banana                        #E3CF57
banker's lamp                 #0E8C3A
barney                        #D4318C
bartlett pear                 #CDAB2D
battleship                    #D0D2C4
beach sand                    #EED6AF
beer                          #E5BC3B
beige (SVG)                   #F5F5DC
beige dark                    #A39480
bermuda sand                  #F6C9CC
big blue bus                  #3A66A7
bing cherry                   #A02422
bisque (SVG)                  #FFE4C4
bisque2                       #EED5B7
bisque3                       #CDB79E
bisque4                       #8B7D6B
black (Safe 16 SVG Hex3)      #000000
black beauty plum             #422C2F
blackberry                    #3A3A38
blanchedalmond (SVG)          #FFEBCD
bloodorange (Hex3)            #CC1100
bloodred (Safe Hex3)          #660000
blue (Safe 16 SVG Hex3)       #0000FF
blue angels                   #2B4F81
blue bird                     #4973AB
blue bucket                   #499DF5
blue corn                     #344152
blue corn chips               #584E56
blue cow                      #88ACE0
blue deep                     #380474
blue dog                      #525C65
blue fern                     #759B84
blue grapes                   #3B4990
blue green algae              #3B8471
blue ice                      #74BBFB
